id,name,rate_percent,applies_to_json
VAT-STD,Standard,23,"[""F&B"",""AV"",""Labour"",""3rd Party"",""Add-On""]"
VAT-RED,Reduced,13.5,"[""F&B"",""3rd Party""]"
